NumID,PlayerID,birthYear,birthMonth,birthDay,Nationality,nameLast,nameFirst,nameGiven,weight,height,bats,throws,debutYear,debutTeam,Name,Position,SigningBonus,Salary,DraftOrder,DebutYearTeam
3031,94134,1971,10,4,Korea,In,Hyeon-Bae,In Hyeon-Bae,176,73,R,R,,,인현배,Pitcher,,,,
3032,94145,1972,2,12,Korea,Heo,Mun-Hoe,Heo Mun-Hoe,187,72,L,L,1994,LG,허문회,,,,94 해태 2차,94LG
3033,94161,1970,3,16,Korea,Park,Cheol-Hong,Park Cheol-Hong,176,69,R,R,,,박철홍,Pitcher,,,,
3034,94162,1971,1,2,Korea,Seo,Yong-Bin,Seo Yong-Bin,181,72,L,L,1994,LG,서용빈,,,,94 LG 2차,94LG
3035,94163,1972,2,12,Korea,Park,Chang-Hyeon,Park Chang-Hyeon,198,72,L,L,,,박창현,Pitcher,,,,
3036,94204,1975,5,5,Korea,Shim,Jeong-Su,Shim Jeong-Su,220,72,R,R,,,심정수,Outfielder,,,,
3037,94215,1971,3,22,Korea,Han,Tae-Gyun,Han Tae-Gyun,170,72,R,R,,,한태균,Pitcher,,,,
3038,94227,1971,11,19,Korea,Hong,U-Tae,Hong U-Tae,231,73,R,R,1994,OB,홍우태,,,,,94OB
3039,94228,1971,10,23,Korea,Ryu,Taek-Hyeon,Ryu Taek-Hyeon,183,72,L,L,1994,OB,류택현,,,,94 OB 1차,94OB
3040,94230,1971,10,30,Korea,Na,Yeong-Cheol,Na Yeong-Cheol,0,0,R,R,,,나영철,Pitcher,,,,
3041,94232,1971,3,19,Korea,Yoon,Gi-Su,Yoon Gi-Su,0,0,R,R,,,윤기수,Infielder,,,,
3042,94233,1971,10,7,Korea,Kim,Gwang-Hyeon,Kim Gwang-Hyeon,216,72,R,R,,,김광현,Catcher,,,,
3043,94250,1975,7,17,Korea,Ham,Seok-Won,Ham Seok-Won,159,72,R,R,,,함석원,Outfielder,,,,
3044,94252,1975,6,21,Korea,Cho,Yeon-Je,Cho Yeon-Je,0,0,L,L,,,조연제,Outfielder,,,,
3045,94255,1975,8,24,Korea,Kim,Myeong-Ho,Kim Myeong-Ho,0,0,L,L,,,김명호,Infielder,,,,
3046,94258,1975,3,3,Korea,Park,Jong-Mu,Park Jong-Mu,0,0,L,L,,,박종무,Outfielder,,,,
3047,94260,1968,10,14,Korea,Gil,Rang-Gyun,Gil Rang-Gyun,0,0,R,R,,,길랑균,Infielder,,,,
3048,94268,1974,4,16,Korea,Ma,Won-Seong,Ma Won-Seong,0,0,R,R,,,마원성,Pitcher,,,,
