playerID,yearID,lgID,teamID,stint,G,CG,SHO,W,L,SV,HLD,WPCT,BFP,IPouts,H,HR,BB,HBP,SO,R,ER,ERA
50393,2021,KBO,Kiwoom,1,3,0,0,0,0,0,0,-,16,9,7,2,1,0,2,3,3,9
50393,2024,KBO,Kiwoom,1,37,0,0,2,1,0,3,0.667,146,108,33,4,6,2,18,20,20,5
50397,2020,KBO,Kiwoom,1,1,0,0,0,1,0,0,0,3,1,1,0,1,0,1,1,1,27
50397,2021,KBO,Kiwoom,1,2,0,0,0,0,0,0,-,12,2,5,0,3,1,0,9,6,81
50404,2020,KBO,Samsung,1,27,1,0,15,7,0,0,0.682,728,529,172,16,50,7,121,71,67,3.45
50404,2021,KBO,Samsung,1,30,1,1,16,5,0,0,0.762,758,531,173,13,59,2,162,71,61,3.1
50404,2022,KBO,Samsung,1,26,1,1,11,8,0,0,0.579,691,480,176,10,39,8,117,61,54,3.04
50404,2023,KBO,Samsung,1,30,1,0,12,8,0,0,0.6,784,564,174,4,43,6,139,71,53,2.54
50411,2022,KBO,Samsung,1,8,0,0,0,0,0,0,-,29,25,5,1,4,0,3,3,1,1.35
50430,2020,KBO,Samsung,1,1,0,0,0,0,0,0,-,6,3,1,0,1,1,0,0,0,0
50430,2023,KBO,Samsung,1,3,0,0,0,0,0,0,-,15,16,2,0,2,0,1,1,1,2.45
50430,2024,KBO,Samsung,1,4,0,0,0,0,0,0,-,28,21,4,1,6,0,5,3,3,4.26
50441,2020,KBO,Samsung,1,1,0,0,0,0,0,0,-,16,6,8,1,4,0,3,8,8,54
50441,2022,KBO,Samsung,1,16,0,0,1,3,0,0,0.25,312,201,91,9,31,0,53,58,52,7.06
50441,2023,KBO,Samsung,1,7,0,0,0,5,0,0,0,155,100,40,6,21,2,27,27,25,7.11
50441,2024,KBO,Samsung,1,15,0,0,1,2,0,0,0.333,180,126,38,2,18,4,30,20,19,4.07
50441,2025,KBO,Samsung,1,2,0,0,0,0,0,0,-,12,9,2,0,1,0,3,0,0,0
50449,2020,KBO,Samsung,1,11,0,0,2,1,0,0,0.667,204,135,43,4,31,2,18,26,24,4.8
50449,2021,KBO,Samsung,1,1,0,0,0,1,0,0,0,22,16,8,1,1,1,3,6,5,12.27
50449,2022,KBO,Samsung,1,12,0,0,4,3,0,0,0.571,264,165,64,8,34,6,36,43,40,6.55
50449,2023,KBO,Samsung,1,7,0,0,0,1,0,0,0,60,37,16,0,12,0,8,12,12,10.13
50464,2020,KBO,Samsung,1,7,0,0,1,3,0,0,0.25,128,81,34,5,19,0,16,21,20,6.84
50464,2021,KBO,Samsung,1,11,0,0,1,4,0,0,0.2,173,112,50,6,18,3,22,34,34,8.58
50464,2022,KBO,Samsung,1,2,0,0,0,0,0,0,-,23,18,2,0,5,0,2,1,1,1.69
50464,2024,KBO,Samsung,1,25,0,0,1,4,0,0,0.2,237,144,71,14,26,3,23,48,45,8.56
50464,2025,KBO,Samsung,1,11,0,0,1,0,0,0,1,69,48,17,2,3,1,15,7,6,3.38
50524,2020,KBO,Lotte,1,25,0,0,9,12,0,0,0.429,590,390,167,14,36,6,87,87,78,5.4
50556,2020,KBO,Lotte,1,31,0,0,0,2,0,8,0,130,94,31,3,11,2,26,16,16,4.85
50556,2021,KBO,Lotte,1,44,0,0,4,2,1,20,0.667,195,144,41,6,16,1,45,16,15,2.85
50556,2022,KBO,Lotte,1,68,0,0,3,4,14,6,0.429,303,213,63,10,20,6,80,35,32,4.06
50556,2023,KBO,Lotte,1,47,0,0,2,3,0,14,0.4,210,148,50,2,18,1,40,15,13,2.45
50556,2024,KBO,Lotte,1,27,0,0,1,2,0,3,0.333,105,70,28,2,14,1,12,13,13,5.4
50558,2020,KBO,Lotte,1,31,0,0,15,4,0,0,0.789,777,589,148,10,51,7,205,61,54,2.5
50558,2021,KBO,Lotte,1,31,0,0,10,12,0,0,0.455,714,502,162,12,67,7,164,85,75,4.07
50558,2022,KBO,Lotte,1,11,0,0,4,2,0,0,0.667,260,189,54,5,22,6,55,24,16,2.31
50558,2023,KBO,Lotte,1,16,0,0,3,5,0,0,0.375,364,243,82,6,37,10,70,43,39,4.37
50563,2021,KBO,Lotte,1,5,0,0,0,0,0,0,-,13,13,3,1,2,0,2,5,5,16.88
50573,2022,KBO,Lotte,1,1,0,0,0,0,0,0,-,8,2,6,1,1,0,0,5,5,67.5
50592,2020,KBO,Lotte,1,2,0,0,0,0,0,0,-,6,2,3,0,1,0,0,2,2,27
50596,2021,KBO,Lotte,1,1,0,0,0,0,0,0,-,3,1,0,0,2,0,0,1,1,27
50596,2024,KBO,Lotte,1,3,0,0,0,0,0,0,-,24,16,8,0,1,2,2,7,5,12.27
50604,2024,KBO,KIA,1,3,0,0,0,0,0,0,-,14,9,5,1,0,1,3,4,2,7.71
50636,2020,KBO,KIA,1,23,1,1,11,4,0,0,0.733,586,456,131,4,24,3,130,43,42,2.5
50636,2021,KBO,KIA,1,13,0,0,3,5,0,0,0.375,333,234,93,4,16,1,55,34,29,3.35
50640,2020,KBO,KIA,1,28,0,0,11,8,0,0,0.579,702,484,162,7,64,9,141,86,77,4.34
50641,2022,KBO,KIA,1,3,0,0,0,0,0,0,-,15,9,3,0,3,0,4,2,2,6
50641,2024,KBO,KIA,1,1,0,0,0,0,0,0,-,7,6,2,0,1,0,0,0,0,0
50641,2025,KBO,KIA,1,2,0,0,0,0,0,0,-,11,9,3,1,1,0,2,2,2,6
50650,2021,KBO,KIA,1,3,0,0,0,1,0,0,0,39,21,11,3,7,1,6,10,10,14.21
