ID,npbjpID,playerID,birthYear,birthMonth,birthDay,birthPlace,nameLast,nameFirst,height,weight,bats,throws,Position
4538,,104538,1973,12,26,Japan,Matsunaka,Nobuhiko,72,214,,,First baseman
4539,,104539,1974,3,12,Japan,Isobe,Koichi,69,181,,,Right fielder
4540,,104540,1974,4,9,Japan,Morinaka,Masao,69,176,,,Pitcher
4541,,104541,1974,4,18,Japan,Horita,Ichiro,71,179,,,Pinch Hitter
4542,,104542,1974,5,11,Japan,Yamada,Takashi,72,176,,,Pitcher
4543,,104543,1974,5,17,Japan,Soejima,Kota,73,194,,,Left fielder
4544,,104544,1974,5,23,Japan,Shibahara,Hiroshi,69,165,,,Center fielder
4545,,104545,1974,6,8,Japan,Misawa,Koichi,70,170,,,Pitcher
4546,,104546,1974,6,12,Japan,Hoshiyama,Tadahiro,72,187,,,Pitcher
4547,,104547,1974,7,11,Japan,Ono,Kosei,69,179,,,Catcher
4548,,104548,1974,7,16,Japan,Imai,Keigo,73,183,,,Pitcher
4549,,104549,1974,9,11,Japan,Imaoka,Makoto,73,183,,,Second baseman
4550,,104550,1974,9,12,Japan,Mori,Shinji,75,201,,,Pitcher
4551,,104551,1974,9,15,Japan,Kurano,Shinji,70,187,,,Pitcher
4552,,104552,1974,9,21,Japan,Sawazaki,Toshikazu,71,170,,,Pitcher
4553,,104553,1974,10,16,Japan,Nakano,Eiichi,73,183,,,Catcher
4554,,104554,1974,10,27,Japan,Satake,Manabu,70,170,,,Third baseman
4555,,104555,1974,11,1,Japan,Tsutsui,So,71,181,,,Third baseman
4556,,104556,1974,11,22,Japan,Takekiyo,Koji,72,181,,,Pitcher
4557,,104557,1974,12,4,Japan,Iguchi,Tadahito,70,185,,,Second baseman
4558,,104558,1975,1,9,Japan,Shimizu,Masaumi,71,194,,,Catcher
4559,,104559,1975,1,24,Japan,Yano,Masayuki,72,190,,,Pitcher
4560,,104560,1975,2,5,Japan,Ikoma,Masaki,71,161,,,Pitcher
4561,,104561,1975,2,10,Japan,Kuroda,Hiroki,73,205,,,Pitcher
4562,,104562,1975,3,7,Japan,Kikuchihara,Tsuyoshi,73,198,,,Pitcher
4563,,104563,1975,4,7,Japan,Ono,Shingo,70,181,,,Pitcher
4564,,104564,1975,4,28,Japan,Otsuka,Akira,72,183,,,Center fielder
4565,,104565,1975,5,21,Japan,Fukutome,Hiroki,70,172,,,Second baseman
4566,,104566,1975,6,12,Japan,Sato,Makoto,72,198,,,Pitcher
4567,,104567,1975,12,14,Japan,Fukuura,Kazuya,72,194,,,First baseman
4568,,104568,1975,12,17,Japan,Fukuchi,Kazuhiro,72,181,,,Left fielder
4569,,104569,1976,1,7,Dominican Republic,Soriano,Alfonso,73,194,,,Second baseman
4570,,104570,1976,5,2,Japan,Yamamura,Hiroki,71,163,,,Pitcher
4571,,104571,1976,6,10,Japan,Saito,Takayuki,73,187,,,Right fielder
4572,,104572,1976,6,11,Japan,Yokoyama,Ryuji,70,187,,,Pitcher
4573,,104573,1976,6,16,Japan,Shima,Shigenobu,71,209,,,Right fielder
4574,,104574,1976,8,23,Japan,Ono,Hitoshi,74,183,,,Pitcher
4575,,104575,1977,3,28,Japan,Tamura,Hitoshi,71,179,,,Center fielder
4576,,104576,1977,4,25,Japan,Miki,Hajime,71,165,,,Second baseman
4577,,104577,1977,6,1,Japan,Yokoyama,Yukiya,75,216,,,Pitcher
4578,,104578,1977,7,16,Japan,Hasegawa,Masayuki,73,176,,,Pitcher
4579,,104579,1977,8,21,Japan,Kobayashi,Satoshi,75,165,,,Pitcher
4580,,104580,1977,9,13,Japan,Araki,Masahiro,71,163,,,Second baseman
4581,,104581,1977,11,30,Japan,Saito,Kazumi,76,207,,,Pitcher
4582,,104582,1978,4,25,Japan,Yano,Satoshi,73,181,,,Pitcher
4583,,104583,1978,4,30,Japan,Kanda,Daisuke,73,192,,,Pitcher
4584,,104584,1978,5,5,Japan,Makuta,Kenji,73,187,,,Right fielder
4585,,104585,1978,7,9,Japan,Hamanaka,Osamu,70,183,,,Right fielder
4586,,104586,1978,7,12,Japan,Ishii,Yoshihito,70,187,,,First baseman
4587,,104587,1978,7,28,Japan,Morino,Masahiko,71,187,,,Third baseman
4588,,104588,1978,9,25,Japan,Maekawa,Katsuhiko,72,216,,,Pitcher
4589,,104589,1963,3,13,Dominican Republic,Duncan,Mariano,72,161,,,Second baseman
4590,,104590,1966,11,18,United States,Mattson,Rob,73,190,,,Pitcher
4591,,104591,1967,4,26,United States,Warren,Brian,73,181,,,Pitcher
4592,,104592,1967,10,20,United States,Pulliam,Harvey,72,209,,,Designated hitter
4593,,104593,1967,11,4,United States,Thompson,Ryan,75,201,,,Center fielder
4594,,104594,1967,11,5,United States,Raabe,Brian,69,170,,,Second baseman
